Company Name,Website,Email,Phone,Category,Lead Quality,Keyword Match %
Abode Ltd | Greater Manchester,https://www.abodeltd.co.uk/,hello@abodeltd.co.uk,0161 883 1886,,HOT,67
Romb.co.uk,https://www.romb.co.uk/,cs@romb.co.uk,4.47362E+11,,HOT,67
Prime Residential,https://primeresidentialpm.com/,manchester@primeresidentialpm.com,01612413335,,HOT,100
Industry Oversight,https://industryoversight.co.uk/,homeowner@industryoversight.co.uk,4.41483E+11,,HOT,67
The Jacksonheim Property Group,https://jacksonheim.co.uk/,heimhost@jacksonheim.co.uk,+44(0)1617265059,,HOT,67
Specialist Recruitment Agency - Get Recruited,https://www.get-recruited.co.uk/,,0161 850 1091,,WARM,33
Pure Investor,https://www.pureinvestor.co.uk/,lettings@pureinvestor.co.uk,+44 (0) 161 337 3890,,HOT,67
Estate Agent Jobs - Estate Agent Jobs board,https://estateagentjobs.co.uk/,info@estateagentjobs.co.uk,4.4204E+11,,HOT,67
DS News,https://dsnews.co.uk/,ncartoon85@gmail.com,,,Cold,0
BBL Property Recruitment,https://www.bblproperty.co.uk/,info@bblproperty.co.uk,+44 2085149140,,HOT,67
X1 Lettings & Sales,https://www.x1salesandlettings.com/,alex@fl1.digital,+44 0161 669 7070,,HOT,67
Master Manchester,https://www.mastermanchester.co.uk/,support@thelist.ph,46875-144-144,,HOT,100
J. Butler Property Management Sites,https://jbutlerpropertymgmt.com/,clientsvc@jbutlerpropertymgmt.com,9786949004,,HOT,67
Find Your Perfect Job Quickly - Job vacancies,https://jobstrackr.com/,,01189 868 900,,WARM,67
Keyrenter St Louis West,https://keyrenterstlwest.com/,office@keyrenterstlwest.com,13149881008,,,
Estates Gazette Jobs,https://www.propertyjobs.co.uk/,egenquiries@markallengroup.com,,,WARM,33
Property Management Company in Murfreesboro,https://www.stonesriverproperties.com/,victoria@stonesriverpm.com,-10690,,HOT,67
PropertyManagementCo.co.uk,https://www.propertymanagementco.co.uk/,cs@realpeoplemedia.co.uk,+44 1235 376067,,HOT,100
Property Management | All Property Management,https://www.trinitypropertygroup.com/,acquisitions@trinitypropertygroup.com,03453451584,,HOT,67
Estates Property Management,https://estatespm.co.uk/,enquiries@estatespm.co.uk,03330 062 930,,HOT,67
